State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
  Alabama,"12,171.9","8,805.3","11,204.1","13,196.4","14,849.5","14,383.0","14,603.7","14,430.2","15,236.4","16,197.4","16,494.6"
  Alaska,"2,892.2","2,533.6","3,291.6","4,071.7","3,473.1","3,664.0","4,108.0","3,960.1","3,533.4","3,958.7","3,913.9"
  Arizona,"14,889.9","10,331.3","11,525.5","13,180.1","13,815.3","14,385.7","15,366.0","17,031.9","16,312.7","15,406.3","16,531.6"
  Arkansas,"4,274.1","3,734.7","3,689.7","4,263.1","5,532.4","5,355.1","4,871.5","4,339.6","4,075.7","4,585.9","5,054.0"
  California,"111,252.1","86,497.8","104,526.2","117,923.9","121,142.9","122,957.1","128,985.9","124,984.7","119,954.7","126,458.0","133,469.4"
  Colorado,"5,941.0","4,327.7","4,873.5","5,435.8","6,089.4","6,491.7","6,211.3","6,097.3","5,628.2","5,954.4","6,360.1"
  Connecticut,"11,424.4","10,065.5","11,732.0","11,963.6","11,945.0","12,526.0","11,990.8","11,363.2","10,705.9","10,856.7","12,811.4"
  Delaware,"3,734.2","3,186.5","3,774.4","4,207.8","4,001.7","4,085.6","3,864.4","3,808.2","3,285.7","3,320.8","3,382.1"
  Florida,"41,322.5","34,034.5","40,265.8","47,899.3","49,752.5","45,537.9","43,366.8","40,649.9","38,641.7","39,725.7","42,597.0"
  Georgia,"20,928.6","17,453.8","20,792.5","25,667.4","26,444.7","27,817.4","29,245.9","28,777.9","26,787.3","27,399.4","30,298.9"
  Hawaii,787.9,420.4,547.5,636.9,409.8,399.4,907.3,"1,330.6",994.1,791.8,512.4
  Idaho,"3,919.5","2,755.5","3,836.8","4,485.3","4,177.9","4,279.5","4,015.7","3,256.5","3,456.2","2,911.9","3,007.1"
  Illinois,"40,517.4","30,464.0","36,249.8","48,218.0","51,835.7","47,776.8","51,101.7","47,531.7","44,221.7","48,310.5","49,538.7"
  Indiana,"20,537.3","16,482.7","21,649.7","24,204.6","25,619.1","25,583.9","26,736.7","25,438.0","25,872.3","28,307.8","29,489.3"
  Iowa,"9,098.1","6,800.5","7,884.2","9,745.0","11,082.8","10,338.8","11,472.0","10,118.2","9,151.7","9,965.7","11,021.2"
  Kansas,"9,906.4","6,355.2","7,353.5","8,699.5","8,709.8","8,902.5","9,110.8","8,143.5","7,419.0","8,317.9","8,556.4"
